File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13A1_006__500m_16_days_EVI_doy2000049_aid0001,_500m_16_days_EVI,aid0001,2000-02-18,3344.0,-0.0536,0.4491,"(-0.0536,0.4491)",0.1791726,0.0557092,0.0031035,0.2105,0.294,0.1857,0.0697,0.154075
MOD13A1_006__500m_16_days_EVI_doy2000065_aid0001,_500m_16_days_EVI,aid0001,2000-03-05,3341.0,-0.0376,0.4683,"(-0.0376,0.4683)",0.1866599,0.0554059,0.0030698,0.218,0.3037,0.1918,0.0754,0.1608
MOD13A1_006__500m_16_days_EVI_doy2000081_aid0001,_500m_16_days_EVI,aid0001,2000-03-21,3344.0,-0.0395,0.5554,"(-0.0395,0.5554)",0.2276023,0.0660504,0.0043626,0.2651,0.3656,0.2351,0.0977,0.197975
MOD13A1_006__500m_16_days_EVI_doy2000097_aid0001,_500m_16_days_EVI,aid0001,2000-04-06,3346.0,-0.034,0.5597,"(-0.034,0.5597)",0.2724554,0.0755236,0.0057038,0.319175,0.4437,0.2813,0.1109,0.2358
MOD13A1_006__500m_16_days_EVI_doy2000113_aid0001,_500m_16_days_EVI,aid0001,2000-04-22,3320.0,-0.0138,0.5958,"(-0.0138,0.5958)",0.3618831,0.0950371,0.009032,0.4289,0.5958,0.37875,0.1267,0.308
MOD13A1_006__500m_16_days_EVI_doy2000129_aid0001,_500m_16_days_EVI,aid0001,2000-05-08,3331.0,-0.0045,0.6472,"(-0.0045,0.6472)",0.3821135,0.1067419,0.0113938,0.4598,0.6472,0.3973,0.11,0.3194
MOD13A1_006__500m_16_days_EVI_doy2000145_aid0001,_500m_16_days_EVI,aid0001,2000-05-24,3337.0,0.0431,0.6745,"(0.0431,0.6745)",0.4044678,0.1083833,0.0117469,0.4855,0.6745,0.4151,0.1201,0.3387
MOD13A1_006__500m_16_days_EVI_doy2000353_aid0001,_500m_16_days_EVI,aid0001,2000-12-18,3375.0,-0.0441,0.3576,"(-0.0441,0.3576)",0.1542516,0.0500383,0.0025038,0.1835,0.2666,0.1572,0.0435,0.1273
MOD13A1_006__500m_16_days_EVI_doy2001001_aid0001,_500m_16_days_EVI,aid0001,2001-01-01,3349.0,-0.0463,0.3145,"(-0.0463,0.3145)",0.1533257,0.0482118,0.0023244,0.1874,0.2778,0.1587,0.0343,0.126
MOD13A1_006__500m_16_days_EVI_doy2001017_aid0001,_500m_16_days_EVI,aid0001,2001-01-17,3372.0,-0.052,0.3088,"(-0.052,0.3088)",0.1533956,0.0467167,0.0021824,0.1856,0.256,0.1591,0.0515,0.1317
