File,aid,Date,2057,2058,2061,2062,2065,2066,2069,2070,2110,2112,2114,2116,2120,2124,2172,2181,2182,2185,2189,2190,2193,2237,2253,2254,2257,2258,2261,2262,2265,2266,2301,2317,2318,2321,2322,2325,2326,2329,2330,2365,2372,2374,2376,2380,2384,2386,2428,2441,2442,2445,2446,2449,2450,2453,2454,2493,2513,2514,2517,2518,2521,2522,2525,2526,2557,3094,3098,3102,3106,3134,3150,3154,3158,3162,3218,3222,3226,3230,3290,3294,3298,3302,3354,3358,3362,3366,3390,3410,3414,3418,3422,3454,3478,3482,3486,3490,3518,3550,3554,3558,3562,3582,18445,18446,18449,18453,18641,18705,18709,18713,19482,19742,34833,34834,34837,34838,34841,34842,34845,34888,34890,34892,34896,34900,34957,34958,34961,34962,34965,34966,34969,35029,35030,35033,35037,35038,35041,35042,35093,35094,35097,35098,35101,35102,35105,35106,35148,35152,35156,35160,35162,35217,35218,35221,35222,35225,35226,35229,35230,35261,35289,35290,35293,35294,35297,35298,35301,35302,35325,35326,35870,35874,35878,35930,35934,35994,35998,36002,36066,36070,36074,36130,36134,36138,36142,36186,36190,36194,36198,36254,36258,36262,36266,36326,36330,36334,36338,51221,51225,51229,51233,51481,51485,51677,52522
_500m_16_days_VI_Quality_2000049_aid0001,aid0001,2000-02-18,14.0,325.0,2.0,110.0,,,,,4.0,724.0,,,,,,23.0,,,,,,,,,63.0,,,,,,,14.0,1.0,,,,,,,,232.0,,,,,,,33.0,,,,,,,,,,,,1.0,,,,,4.0,26.0,11.0,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,9.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,
_500m_16_days_VI_Quality_2000065_aid0001,aid0001,2000-03-05,6.0,186.0,,76.0,,,,,47.0,725.0,,,,,126.0,192.0,,,,,,16.0,,,4.0,,,,,,3.0,8.0,,,,,,,,,76.0,,3.0,,,,18.0,44.0,,9.0,,,,,,4.0,1.0,,4.0,,,,,,2.0,23.0,22.0,,,2.0,,,,,11.0,,,,,,,,,,,,,,4.0,,,1.0,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_500m_16_days_VI_Quality_2000081_aid0001,aid0001,2000-03-21,5.0,226.0,,,,,,,27.0,756.0,,,,,52.0,170.0,,35.0,,,,11.0,,,,,,,,,,3.0,,,,,,,,,209.0,,,,,,15.0,42.0,,39.0,,,,,,9.0,5.0,,,,,,,,,9.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_500m_16_days_VI_Quality_2000097_aid0001,aid0001,2000-04-06,,277.0,,11.0,,,,,34.0,428.0,,372.0,,,125.0,97.0,,37.0,,,,41.0,,,,,,,,,,17.0,,3.0,,,,,,3.0,43.0,,46.0,,,,11.0,6.0,,27.0,,,,,,7.0,5.0,,1.0,,,,,,2.0,,3.0,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,5.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_500m_16_days_VI_Quality_2000113_aid0001,aid0001,2000-04-22,,342.0,,10.0,,,,,34.0,342.0,,,,,17.0,554.0,,,,,,53.0,6.0,,,,,,,,,4.0,,,,,,,,,82.0,,,,,,7.0,84.0,,5.0,,,,,,24.0,9.0,,,,,,,,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_500m_16_days_VI_Quality_2000129_aid0001,aid0001,2000-05-08,,355.0,,64.0,,,,,42.0,28.0,,,,,2.0,626.0,,,,,,57.0,91.0,,,,,,,,2.0,11.0,,,,,,,,,30.0,,,,,,,151.0,,,,,,,,6.0,75.0,,2.0,3.0,,,,,5.0,9.0,33.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,
_500m_16_days_VI_Quality_2000145_aid0001,aid0001,2000-05-24,,325.0,,18.0,,,,,17.0,668.0,,170.0,,,58.0,46.0,,25.0,,,,,,,48.0,,,,,,6.0,3.0,,,,,,,,,128.0,,,,,,8.0,9.0,,55.0,,,,,,10.0,2.0,,6.0,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_500m_16_days_VI_Quality_2000353_aid0001,aid0001,2000-12-18,,,11.0,236.0,,43.0,,34.0,,,,309.0,,,,,,28.0,,,1.0,,,,,,14.0,,1.0,,,,,110.0,,,,,,,,,161.0,,,,,,,73.0,,38.0,,,,,,,,,11.0,4.0,7.0,10.0,,,73.0,21.0,10.0,,,,,,,,,,,,,,,10.0,,,,,3.0,,,,,,,,,,4.0,1.0,19.0,,,,,,,,,,,,,,11.0,,,,,,,98.0,,,,,12.0,,2.0,,,,,,20.0,,,,,,28.0,,,,,,,94.0,,,,,,36.0,,28.0,,,,,,,,,9.0,3.0,13.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,12.0,,,,,,,,
_500m_16_days_VI_Quality_2001001_aid0001,aid0001,2001-01-01,43.0,48.0,,54.0,,77.0,,,,1020.0,,,,,,23.0,,6.0,,,,,,,,,,,,,,120.0,,,,,24.0,,,,47.0,,,,,,,3.0,,1.0,,,,,,,,,1.0,,,,,,,24.0,20.0,23.0,,,,,5.0,,,,,,,,,,12.0,,10.0,,,6.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,5.0,,,,,,,,,2.0,,,,,6.0,,,,,,,,1.0,,,,,14.0,2.0,,,,,,,,1.0,,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_500m_16_days_VI_Quality_2001017_aid0001,aid0001,2001-01-17,7.0,466.0,,33.0,,,,,,,,,,,,242.0,,,,,,,21.0,,,,,,,,,4.0,5.0,,,,,,,,,,,,,,,211.0,,,,,,,,,114.0,7.0,,2.0,,,,,,76.0,11.0,,,,,,,,,,,,6.0,,,,8.0,,,,,,,,,,,5.0,,,,23.0,9.0,,,,32.0,,,,,3.0,,,,,,,,,,,,,,,,,77.0,,,,,,,17.0,,,,,,,,2.0,,1.0,,,,,,,,,,117.0,,,,,,,,,84.0,1.0,,,,,,,,,,,,,,,,,8.0,,,3.0,,,,,,,,,,,,8.0,2.0,,,12.0,,,,,,,
