File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13A1_006__500m_16_days_EVI_doy2000049_aid0001,_500m_16_days_EVI,aid0001,2000-02-18,1617.0,-0.0128,0.3426,"(-0.0128,0.3426)",0.1687158,0.0947339,0.0089745,0.2539,0.3426,0.1827,-0.0128,0.0789
MOD13A1_006__500m_16_days_EVI_doy2000065_aid0001,_500m_16_days_EVI,aid0001,2000-03-05,1617.0,0.0052,0.3627,"(0.0052,0.3627)",0.184494,0.0907108,0.0082284,0.2673,0.3627,0.1951,0.0052,0.0963
MOD13A1_006__500m_16_days_EVI_doy2000081_aid0001,_500m_16_days_EVI,aid0001,2000-03-21,1617.0,0.0262,0.363,"(0.0262,0.363)",0.1832439,0.0881632,0.0077727,0.2624,0.363,0.1921,0.0262,0.099
MOD13A1_006__500m_16_days_EVI_doy2000097_aid0001,_500m_16_days_EVI,aid0001,2000-04-06,1617.0,0.0328,0.3929,"(0.0328,0.3929)",0.1867421,0.0893398,0.0079816,0.2692,0.3929,0.1933,0.0328,0.1002
MOD13A1_006__500m_16_days_EVI_doy2000113_aid0001,_500m_16_days_EVI,aid0001,2000-04-22,1617.0,0.0055,0.4215,"(0.0055,0.4215)",0.2435757,0.1070392,0.0114574,0.3395,0.4215,0.2721,0.0055,0.1421
MOD13A1_006__500m_16_days_EVI_doy2000129_aid0001,_500m_16_days_EVI,aid0001,2000-05-08,1617.0,0.0507,0.5578,"(0.0507,0.5578)",0.2846805,0.1280721,0.0164025,0.4008,0.5578,0.3078,0.0507,0.1588
MOD13A1_006__500m_16_days_EVI_doy2000145_aid0001,_500m_16_days_EVI,aid0001,2000-05-24,1617.0,0.036,0.6524,"(0.036,0.6524)",0.3356272,0.1696993,0.0287978,0.4925,0.6524,0.3487,0.036,0.1717
MOD13A1_006__500m_16_days_EVI_doy2000353_aid0001,_500m_16_days_EVI,aid0001,2000-12-18,1617.0,0.0088,0.4091,"(0.0088,0.4091)",0.17742,0.1009923,0.0101994,0.2677,0.4091,0.1675,0.0088,0.0827
MOD13A1_006__500m_16_days_EVI_doy2001001_aid0001,_500m_16_days_EVI,aid0001,2001-01-01,1617.0,-0.0105,0.38,"(-0.0105,0.38)",0.1794217,0.0962413,0.0092624,0.261,0.38,0.1881,-0.0105,0.0958
MOD13A1_006__500m_16_days_EVI_doy2001017_aid0001,_500m_16_days_EVI,aid0001,2001-01-17,1617.0,-0.0174,0.3603,"(-0.0174,0.3603)",0.1488926,0.0925196,0.0085599,0.2343,0.3603,0.1439,-0.0174,0.0624
MOD13A1_006__500m_16_days_EVI_doy2001033_aid0001,_500m_16_days_EVI,aid0001,2001-02-02,1617.0,0.0166,0.4352,"(0.0166,0.4352)",0.1816428,0.1002671,0.0100535,0.2651,0.4352,0.1735,0.0166,0.0924
MOD13A1_006__500m_16_days_EVI_doy2001049_aid0001,_500m_16_days_EVI,aid0001,2001-02-18,1617.0,0.0234,0.3544,"(0.0234,0.3544)",0.1670723,0.0806087,0.0064978,0.2345,0.3544,0.1736,0.0234,0.0899
MOD13A1_006__500m_16_days_EVI_doy2001065_aid0001,_500m_16_days_EVI,aid0001,2001-03-06,1617.0,0.0343,0.4015,"(0.0343,0.4015)",0.1831267,0.0861449,0.0074209,0.2564,0.4015,0.1937,0.0343,0.0979
MOD13A1_006__500m_16_days_EVI_doy2001081_aid0001,_500m_16_days_EVI,aid0001,2001-03-22,1617.0,0.0303,0.3552,"(0.0303,0.3552)",0.1811834,0.0779266,0.0060726,0.25,0.3552,0.2029,0.0303,0.1084
MOD13A1_006__500m_16_days_EVI_doy2001097_aid0001,_500m_16_days_EVI,aid0001,2001-04-07,1617.0,0.0383,0.409,"(0.0383,0.409)",0.2322834,0.0960911,0.0092335,0.3163,0.409,0.2583,0.0383,0.1404
MOD13A1_006__500m_16_days_EVI_doy2001113_aid0001,_500m_16_days_EVI,aid0001,2001-04-23,1617.0,0.0499,0.4314,"(0.0499,0.4314)",0.211517,0.0840448,0.0070635,0.2818,0.4314,0.2389,0.0499,0.1301
MOD13A1_006__500m_16_days_EVI_doy2001129_aid0001,_500m_16_days_EVI,aid0001,2001-05-09,1617.0,0.0352,0.6053,"(0.0352,0.6053)",0.2986546,0.143592,0.0206187,0.4313,0.6053,0.3088,0.0352,0.1619
MOD13A1_006__500m_16_days_EVI_doy2001145_aid0001,_500m_16_days_EVI,aid0001,2001-05-25,1617.0,0.0661,0.6559,"(0.0661,0.6559)",0.3315374,0.167041,0.0279027,0.4857,0.6559,0.3457,0.0661,0.1636
MOD13A1_006__500m_16_days_EVI_doy2001353_aid0001,_500m_16_days_EVI,aid0001,2001-12-19,1617.0,0.0112,0.4612,"(0.0112,0.4612)",0.2132222,0.1185085,0.0140443,0.3158,0.4612,0.2132,0.0112,0.1045
MOD13A1_006__500m_16_days_EVI_doy2002001_aid0001,_500m_16_days_EVI,aid0001,2002-01-01,1617.0,0.0088,0.4293,"(0.0088,0.4293)",0.1698656,0.0977702,0.009559,0.2554,0.4293,0.1694,0.0088,0.0792
MOD13A1_006__500m_16_days_EVI_doy2002017_aid0001,_500m_16_days_EVI,aid0001,2002-01-17,1617.0,-0.0074,0.4471,"(-0.0074,0.4471)",0.194127,0.1152046,0.0132721,0.2985,0.4471,0.1785,-0.0074,0.0899
MOD13A1_006__500m_16_days_EVI_doy2002033_aid0001,_500m_16_days_EVI,aid0001,2002-02-02,1617.0,-0.0024,0.3706,"(-0.0024,0.3706)",0.1624014,0.0796271,0.0063405,0.2237,0.3706,0.1707,-0.0024,0.0912
MOD13A1_006__500m_16_days_EVI_doy2002049_aid0001,_500m_16_days_EVI,aid0001,2002-02-18,1617.0,0.0198,0.3949,"(0.0198,0.3949)",0.2044782,0.1008829,0.0101774,0.3008,0.3949,0.2105,0.0198,0.1077
MOD13A1_006__500m_16_days_EVI_doy2002065_aid0001,_500m_16_days_EVI,aid0001,2002-03-06,1617.0,0.0136,0.3715,"(0.0136,0.3715)",0.1899069,0.0956028,0.0091399,0.2756,0.3715,0.193,0.0136,0.1011
MOD13A1_006__500m_16_days_EVI_doy2002081_aid0001,_500m_16_days_EVI,aid0001,2002-03-22,1617.0,0.0203,0.4501,"(0.0203,0.4501)",0.1954412,0.0845012,0.0071405,0.2658,0.4501,0.2174,0.0203,0.1147
MOD13A1_006__500m_16_days_EVI_doy2002097_aid0001,_500m_16_days_EVI,aid0001,2002-04-07,1617.0,0.0462,0.4346,"(0.0462,0.4346)",0.2616325,0.1178616,0.0138914,0.3753,0.4346,0.2743,0.0462,0.1496
MOD13A1_006__500m_16_days_EVI_doy2002113_aid0001,_500m_16_days_EVI,aid0001,2002-04-23,1617.0,0.0576,0.5823,"(0.0576,0.5823)",0.2650637,0.1176732,0.013847,0.3674,0.5823,0.2839,0.0576,0.1541
MOD13A1_006__500m_16_days_EVI_doy2002129_aid0001,_500m_16_days_EVI,aid0001,2002-05-09,1617.0,0.0749,0.6298,"(0.0749,0.6298)",0.3326363,0.1550083,0.0240276,0.4834,0.6298,0.3121,0.0749,0.1788
MOD13A1_006__500m_16_days_EVI_doy2002145_aid0001,_500m_16_days_EVI,aid0001,2002-05-25,1617.0,0.0682,0.5929,"(0.0682,0.5929)",0.3037994,0.1332295,0.0177501,0.4204,0.5929,0.3351,0.0682,0.1734
MOD13A1_006__500m_16_days_EVI_doy2002353_aid0001,_500m_16_days_EVI,aid0001,2002-12-19,1617.0,0.0204,0.4212,"(0.0204,0.4212)",0.1893942,0.0949466,0.0090149,0.2679,0.4212,0.1842,0.0204,0.1077
MOD13A1_006__500m_16_days_EVI_doy2003001_aid0001,_500m_16_days_EVI,aid0001,2003-01-01,1617.0,0.015,0.4212,"(0.015,0.4212)",0.1858758,0.0964215,0.0092971,0.2648,0.4212,0.1917,0.015,0.0966
MOD13A1_006__500m_16_days_EVI_doy2003017_aid0001,_500m_16_days_EVI,aid0001,2003-01-17,1617.0,0.0017,0.4712,"(0.0017,0.4712)",0.2086572,0.1109153,0.0123022,0.3088,0.4712,0.2195,0.0017,0.1017
MOD13A1_006__500m_16_days_EVI_doy2003033_aid0001,_500m_16_days_EVI,aid0001,2003-02-02,1617.0,-0.0092,0.4076,"(-0.0092,0.4076)",0.1805494,0.0950734,0.0090389,0.2604,0.4076,0.1942,-0.0092,0.0911
MOD13A1_006__500m_16_days_EVI_doy2003049_aid0001,_500m_16_days_EVI,aid0001,2003-02-18,1617.0,0.0156,0.3046,"(0.0156,0.3046)",0.1581033,0.07697,0.0059244,0.2257,0.3046,0.174,0.0156,0.0812
MOD13A1_006__500m_16_days_EVI_doy2003065_aid0001,_500m_16_days_EVI,aid0001,2003-03-06,1617.0,0.0195,0.4048,"(0.0195,0.4048)",0.171524,0.0812497,0.0066015,0.2215,0.4048,0.1765,0.0195,0.0991
MOD13A1_006__500m_16_days_EVI_doy2003081_aid0001,_500m_16_days_EVI,aid0001,2003-03-22,1617.0,0.0243,0.4032,"(0.0243,0.4032)",0.1820163,0.0893495,0.0079833,0.2304,0.4032,0.18,0.0243,0.1043
MOD13A1_006__500m_16_days_EVI_doy2003097_aid0001,_500m_16_days_EVI,aid0001,2003-04-07,1617.0,0.0329,0.3989,"(0.0329,0.3989)",0.1900254,0.0716195,0.0051294,0.2446,0.3989,0.2111,0.0329,0.1298
MOD13A1_006__500m_16_days_EVI_doy2003113_aid0001,_500m_16_days_EVI,aid0001,2003-04-23,1617.0,0.0579,0.5307,"(0.0579,0.5307)",0.2747792,0.119807,0.0143537,0.3788,0.5307,0.2939,0.0579,0.1651
MOD13A1_006__500m_16_days_EVI_doy2003129_aid0001,_500m_16_days_EVI,aid0001,2003-05-09,1617.0,0.0598,0.6406,"(0.0598,0.6406)",0.3388375,0.1522537,0.0231812,0.4852,0.6406,0.3485,0.0598,0.1833
