File,aid,Date,2057,2058,2061,2062,2065,2066,2070,2112,2116,2120,2122,2124,2126,2172,2181,2182,2185,2189,2193,2237,2253,2254,2257,2258,2261,2262,2265,2266,2317,2318,2322,2325,2326,2330,2372,2376,2380,2382,2441,2442,2445,2446,2449,2450,2453,2454,2513,2514,2517,2518,2521,2522,2525,2526,3094,3098,3102,3106,3150,3154,3158,3162,3218,3222,3226,3230,3290,3294,3298,3302,3354,3358,3362,3366,3410,3418,3422,3478,3482,3486,3490,3550,3554,3558,3562,4106,4110,4114,4118,4160,4164,4168,4172,4229,4233,4237,4241,4305,4309,4313,4369,4370,4373,4374,4377,4378,5146,5150,5154,5346,5350,5410,5414,18445,18449,18450,18453,18454,18457,18458,18645,18705,18709,18713,18717,20493,20497,20501,20761,34838,34888,34892,34896,34900,34957,34961,34965,34969,35029,35033,35034,35037,35038,35041,35042,35093,35094,35097,35098,35101,35102,35148,35152,35156,35217,35218,35221,35225,35226,35229,35289,35290,35293,35294,35297,35298,35301,35302,35874,35938,35994,35998,36066,36070,36074,36078,36134,36138,36142,36194,36198,36254,36258,36262,36266,36326,36330,36334,36338,37085,37145,37149,37150,51225,51229,51481,51485,51489,51493,51681,53277,53281
_500m_16_days_VI_Quality_2000049_aid0001,aid0001,2000-02-18,,,,,,,,294.0,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_500m_16_days_VI_Quality_2000065_aid0001,aid0001,2000-03-05,,,,,,,,292.0,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_500m_16_days_VI_Quality_2000081_aid0001,aid0001,2000-03-21,,,,,,,,292.0,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_500m_16_days_VI_Quality_2000097_aid0001,aid0001,2000-04-06,,,,,,,,267.0,1.0,,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_500m_16_days_VI_Quality_2000113_aid0001,aid0001,2000-04-22,,,,,,,,92.0,30.0,,,,,,3.0,,174.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_500m_16_days_VI_Quality_2000129_aid0001,aid0001,2000-05-08,,,,,,,,260.0,,,,,,5.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_500m_16_days_VI_Quality_2000145_aid0001,aid0001,2000-05-24,,,,,,,,270.0,,,,,,,20.0,,13.0,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_500m_16_days_VI_Quality_2000353_aid0001,aid0001,2000-12-18,,,,,,,,,,215.0,,,,,,,,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_500m_16_days_VI_Quality_2001001_aid0001,aid0001,2001-01-01,,,,,,,,,,83.0,,,,,,,23.0,68.0,,,,,,,25.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,25.0,,,,39.0,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
