File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13A1_006__500m_16_days_EVI_doy2000049_aid0001,_500m_16_days_EVI,aid0001,2000-02-18,315.0,0.1243,0.4619,"(0.1243,0.4619)",0.2727019,0.0588578,0.0034642,0.3069,0.4097,0.2718,0.1243,0.23125
MOD13A1_006__500m_16_days_EVI_doy2000065_aid0001,_500m_16_days_EVI,aid0001,2000-03-05,315.0,0.101,0.454,"(0.101,0.454)",0.2706832,0.0599994,0.0035999,0.3107,0.4244,0.2642,0.101,0.2262
MOD13A1_006__500m_16_days_EVI_doy2000081_aid0001,_500m_16_days_EVI,aid0001,2000-03-21,315.0,0.1312,0.5341,"(0.1312,0.5341)",0.3031838,0.0745969,0.0055647,0.35455,0.4733,0.2882,0.1312,0.2452
MOD13A1_006__500m_16_days_EVI_doy2000097_aid0001,_500m_16_days_EVI,aid0001,2000-04-06,315.0,0.1604,0.6078,"(0.1604,0.6078)",0.3838432,0.0963155,0.0092767,0.45865,0.6078,0.3659,0.1604,0.3038
MOD13A1_006__500m_16_days_EVI_doy2000113_aid0001,_500m_16_days_EVI,aid0001,2000-04-22,315.0,0.3044,0.6714,"(0.3044,0.6714)",0.524747,0.0934078,0.008725,0.6081,0.6714,0.539,0.3044,0.4595
MOD13A1_006__500m_16_days_EVI_doy2000129_aid0001,_500m_16_days_EVI,aid0001,2000-05-08,315.0,0.2904,0.6969,"(0.2904,0.6969)",0.5538883,0.0906101,0.0082102,0.6208,0.6969,0.5764,0.3631,0.51295
MOD13A1_006__500m_16_days_EVI_doy2000145_aid0001,_500m_16_days_EVI,aid0001,2000-05-24,315.0,0.253,0.7321,"(0.253,0.7321)",0.5599152,0.1031682,0.0106437,0.6389,0.7321,0.5806,0.2918,0.4888
MOD13A1_006__500m_16_days_EVI_doy2000353_aid0001,_500m_16_days_EVI,aid0001,2000-12-18,315.0,0.1181,0.4724,"(0.1181,0.4724)",0.261059,0.0750576,0.0056336,0.31165,0.4724,0.2563,0.1181,0.1938
MOD13A1_006__500m_16_days_EVI_doy2001001_aid0001,_500m_16_days_EVI,aid0001,2001-01-01,315.0,0.1239,0.4678,"(0.1239,0.4678)",0.3124063,0.0631271,0.003985,0.355,0.4678,0.3109,0.1239,0.2612
MOD13A1_006__500m_16_days_EVI_doy2001017_aid0001,_500m_16_days_EVI,aid0001,2001-01-17,315.0,0.1118,0.4399,"(0.1118,0.4399)",0.2645562,0.064529,0.004164,0.30915,0.4399,0.2571,0.1118,0.2153
MOD13A1_006__500m_16_days_EVI_doy2001033_aid0001,_500m_16_days_EVI,aid0001,2001-02-02,315.0,0.1029,0.4568,"(0.1029,0.4568)",0.2595365,0.0669933,0.0044881,0.3076,0.4568,0.2453,0.1029,0.20595
MOD13A1_006__500m_16_days_EVI_doy2001049_aid0001,_500m_16_days_EVI,aid0001,2001-02-18,315.0,0.1561,0.4862,"(0.1561,0.4862)",0.2839197,0.064473,0.0041568,0.3265,0.4599,0.2724,0.1561,0.2326
MOD13A1_006__500m_16_days_EVI_doy2001065_aid0001,_500m_16_days_EVI,aid0001,2001-03-06,315.0,0.1046,0.5687,"(0.1046,0.5687)",0.2932114,0.0921086,0.008484,0.3654,0.5687,0.3047,0.1046,0.2279
MOD13A1_006__500m_16_days_EVI_doy2001081_aid0001,_500m_16_days_EVI,aid0001,2001-03-22,315.0,0.1385,0.5584,"(0.1385,0.5584)",0.3353276,0.0823154,0.0067758,0.3933,0.5584,0.3178,0.1385,0.2681
MOD13A1_006__500m_16_days_EVI_doy2001097_aid0001,_500m_16_days_EVI,aid0001,2001-04-07,315.0,0.082,0.6319,"(0.082,0.6319)",0.3932168,0.1051289,0.0110521,0.45285,0.6319,0.3966,0.0984,0.3097
MOD13A1_006__500m_16_days_EVI_doy2001113_aid0001,_500m_16_days_EVI,aid0001,2001-04-23,315.0,0.1884,0.6033,"(0.1884,0.6033)",0.3972644,0.0831605,0.0069157,0.4565,0.6033,0.385,0.1884,0.33165
MOD13A1_006__500m_16_days_EVI_doy2001129_aid0001,_500m_16_days_EVI,aid0001,2001-05-09,315.0,0.2007,0.6149,"(0.2007,0.6149)",0.503754,0.0850886,0.0072401,0.56375,0.6149,0.5288,0.3258,0.4679
MOD13A1_006__500m_16_days_EVI_doy2001145_aid0001,_500m_16_days_EVI,aid0001,2001-05-25,315.0,0.2647,0.6849,"(0.2647,0.6849)",0.5309238,0.0991496,0.0098306,0.6143,0.6849,0.5474,0.2647,0.47035
MOD13A1_006__500m_16_days_EVI_doy2001353_aid0001,_500m_16_days_EVI,aid0001,2001-12-19,315.0,-0.0351,0.3861,"(-0.0351,0.3861)",0.132581,0.0829725,0.0068844,0.17365,0.3171,0.1177,-0.0351,0.0773
MOD13A1_006__500m_16_days_EVI_doy2002001_aid0001,_500m_16_days_EVI,aid0001,2002-01-01,315.0,-0.0407,0.4022,"(-0.0407,0.4022)",0.1586108,0.0865644,0.0074934,0.2076,0.3569,0.1451,-0.0407,0.1006
MOD13A1_006__500m_16_days_EVI_doy2002017_aid0001,_500m_16_days_EVI,aid0001,2002-01-17,315.0,0.1194,0.3823,"(0.1194,0.3823)",0.2431698,0.0486872,0.0023704,0.2807,0.3823,0.244,0.1194,0.212
MOD13A1_006__500m_16_days_EVI_doy2002033_aid0001,_500m_16_days_EVI,aid0001,2002-02-02,315.0,0.0778,0.3782,"(0.0778,0.3782)",0.252299,0.0589931,0.0034802,0.2927,0.3782,0.2523,0.1169,0.2132
MOD13A1_006__500m_16_days_EVI_doy2002049_aid0001,_500m_16_days_EVI,aid0001,2002-02-18,315.0,0.1231,0.4874,"(0.1231,0.4874)",0.2892752,0.0661666,0.004378,0.3328,0.4603,0.2819,0.1231,0.2439
MOD13A1_006__500m_16_days_EVI_doy2002065_aid0001,_500m_16_days_EVI,aid0001,2002-03-06,315.0,0.1321,0.5148,"(0.1321,0.5148)",0.3074594,0.0652757,0.0042609,0.3426,0.4615,0.3005,0.1321,0.25705
MOD13A1_006__500m_16_days_EVI_doy2002081_aid0001,_500m_16_days_EVI,aid0001,2002-03-22,315.0,0.1816,0.6108,"(0.1816,0.6108)",0.3549908,0.0901694,0.0081305,0.41455,0.5951,0.3261,0.1816,0.2857
MOD13A1_006__500m_16_days_EVI_doy2002097_aid0001,_500m_16_days_EVI,aid0001,2002-04-07,315.0,0.2397,0.62,"(0.2397,0.62)",0.4136165,0.0841782,0.007086,0.47265,0.62,0.4035,0.2397,0.347
MOD13A1_006__500m_16_days_EVI_doy2002113_aid0001,_500m_16_days_EVI,aid0001,2002-04-23,315.0,0.2738,0.6684,"(0.2738,0.6684)",0.4838083,0.0784487,0.0061542,0.5379,0.6684,0.4968,0.2738,0.43165
MOD13A1_006__500m_16_days_EVI_doy2002129_aid0001,_500m_16_days_EVI,aid0001,2002-05-09,315.0,0.2798,0.6863,"(0.2798,0.6863)",0.5527216,0.0937287,0.0087851,0.6225,0.6863,0.5823,0.3533,0.514
MOD13A1_006__500m_16_days_EVI_doy2002145_aid0001,_500m_16_days_EVI,aid0001,2002-05-25,315.0,0.2383,0.7013,"(0.2383,0.7013)",0.5642616,0.099327,0.0098658,0.63785,0.7013,0.5907,0.335,0.5135
MOD13A1_006__500m_16_days_EVI_doy2002353_aid0001,_500m_16_days_EVI,aid0001,2002-12-19,315.0,0.1444,0.4953,"(0.1444,0.4953)",0.2960314,0.0815958,0.0066579,0.3663,0.4953,0.2753,0.1444,0.23495
MOD13A1_006__500m_16_days_EVI_doy2003001_aid0001,_500m_16_days_EVI,aid0001,2003-01-01,315.0,-0.0126,0.5073,"(-0.0126,0.5073)",0.238094,0.1184555,0.0140317,0.3087,0.5073,0.2397,-0.0126,0.1403
MOD13A1_006__500m_16_days_EVI_doy2003017_aid0001,_500m_16_days_EVI,aid0001,2003-01-17,315.0,0.0574,0.4497,"(0.0574,0.4497)",0.2503714,0.0649329,0.0042163,0.2899,0.4036,0.244,0.0986,0.20875
MOD13A1_006__500m_16_days_EVI_doy2003033_aid0001,_500m_16_days_EVI,aid0001,2003-02-02,315.0,-0.0075,0.2733,"(-0.0075,0.2733)",0.0913927,0.0467579,0.0021863,0.1229,0.2222,0.0877,-0.0075,0.0567
MOD13A1_006__500m_16_days_EVI_doy2003049_aid0001,_500m_16_days_EVI,aid0001,2003-02-18,315.0,0.0246,0.4095,"(0.0246,0.4095)",0.2229568,0.0586607,0.0034411,0.2581,0.3379,0.2264,0.1029,0.1935
MOD13A1_006__500m_16_days_EVI_doy2003065_aid0001,_500m_16_days_EVI,aid0001,2003-03-06,315.0,0.1124,0.484,"(0.1124,0.484)",0.2687733,0.0601251,0.003615,0.3139,0.4095,0.2621,0.1124,0.2235
MOD13A1_006__500m_16_days_EVI_doy2003081_aid0001,_500m_16_days_EVI,aid0001,2003-03-22,315.0,0.1385,0.5711,"(0.1385,0.5711)",0.3023422,0.0684941,0.0046914,0.35115,0.4848,0.283,0.1385,0.25675
MOD13A1_006__500m_16_days_EVI_doy2003097_aid0001,_500m_16_days_EVI,aid0001,2003-04-07,315.0,0.1531,0.6444,"(0.1531,0.6444)",0.3549778,0.092086,0.0084798,0.4183,0.5824,0.3379,0.1531,0.27595
MOD13A1_006__500m_16_days_EVI_doy2003113_aid0001,_500m_16_days_EVI,aid0001,2003-04-23,315.0,0.2009,0.6525,"(0.2009,0.6525)",0.4559571,0.0854266,0.0072977,0.51155,0.6525,0.4656,0.262,0.41095
MOD13A1_006__500m_16_days_EVI_doy2003129_aid0001,_500m_16_days_EVI,aid0001,2003-05-09,315.0,0.2692,0.7075,"(0.2692,0.7075)",0.563226,0.0915254,0.0083769,0.63185,0.7075,0.5769,0.348,0.5181
