File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13A1_006__500m_16_days_EVI_doy2000049_aid0001,_500m_16_days_EVI,aid0001,2000-02-18,3621.0,-0.0452,0.5648,"(-0.0452,0.5648)",0.0625595,0.0806499,0.0065044,0.0873,0.2176,0.0435,-0.0452,0.0002
MOD13A1_006__500m_16_days_EVI_doy2000065_aid0001,_500m_16_days_EVI,aid0001,2000-03-05,3662.0,-0.0108,0.5558,"(-0.0108,0.5558)",0.237694,0.0867268,0.0075215,0.2941,0.4568,0.2462,0.0228,0.1844
MOD13A1_006__500m_16_days_EVI_doy2000081_aid0001,_500m_16_days_EVI,aid0001,2000-03-21,3633.0,-0.0404,0.6562,"(-0.0404,0.6562)",0.2430401,0.0918396,0.0084345,0.296,0.4504,0.2514,0.0395,0.1926
MOD13A1_006__500m_16_days_EVI_doy2000097_aid0001,_500m_16_days_EVI,aid0001,2000-04-06,3636.0,-0.0849,0.6106,"(-0.0849,0.6106)",0.256288,0.0957794,0.0091737,0.3112,0.4651,0.26665,0.0569,0.208575
MOD13A1_006__500m_16_days_EVI_doy2000113_aid0001,_500m_16_days_EVI,aid0001,2000-04-22,3639.0,-0.0576,0.7032,"(-0.0576,0.7032)",0.282911,0.1033273,0.0106765,0.3446,0.5155,0.2867,0.0602,0.2304
MOD13A1_006__500m_16_days_EVI_doy2000129_aid0001,_500m_16_days_EVI,aid0001,2000-05-08,3629.0,-0.0462,0.6094,"(-0.0462,0.6094)",0.2988124,0.1039934,0.0108146,0.3647,0.5506,0.3025,0.0531,0.239
MOD13A1_006__500m_16_days_EVI_doy2000145_aid0001,_500m_16_days_EVI,aid0001,2000-05-24,3630.0,-0.058,0.7239,"(-0.058,0.7239)",0.3285896,0.1189196,0.0141419,0.402125,0.6061,0.3321,0.0664,0.2652
MOD13A1_006__500m_16_days_EVI_doy2000353_aid0001,_500m_16_days_EVI,aid0001,2000-12-18,3638.0,-0.0352,0.5162,"(-0.0352,0.5162)",0.1704909,0.0896164,0.0080311,0.2275,0.4142,0.17245,-0.0352,0.1025
MOD13A1_006__500m_16_days_EVI_doy2001001_aid0001,_500m_16_days_EVI,aid0001,2001-01-01,3631.0,-0.0223,0.5162,"(-0.0223,0.5162)",0.1958223,0.0828489,0.0068639,0.2388,0.3773,0.1986,0.008,0.14625
MOD13A1_006__500m_16_days_EVI_doy2001017_aid0001,_500m_16_days_EVI,aid0001,2001-01-17,3629.0,-0.0267,0.4688,"(-0.0267,0.4688)",0.1885889,0.0791739,0.0062685,0.2315,0.3693,0.193,0.0029,0.1396
MOD13A1_006__500m_16_days_EVI_doy2001033_aid0001,_500m_16_days_EVI,aid0001,2001-02-02,3650.0,-0.0203,0.4792,"(-0.0203,0.4792)",0.1893901,0.0783054,0.0061317,0.2269,0.355,0.1901,0.0152,0.1414
MOD13A1_006__500m_16_days_EVI_doy2001049_aid0001,_500m_16_days_EVI,aid0001,2001-02-18,3648.0,-0.0164,0.4514,"(-0.0164,0.4514)",0.1904301,0.0735131,0.0054042,0.233625,0.3602,0.196,0.0232,0.1492
MOD13A1_006__500m_16_days_EVI_doy2001065_aid0001,_500m_16_days_EVI,aid0001,2001-03-06,3647.0,-0.0206,0.4827,"(-0.0206,0.4827)",0.2000217,0.0809101,0.0065464,0.2429,0.3784,0.2053,0.0184,0.1523
MOD13A1_006__500m_16_days_EVI_doy2001081_aid0001,_500m_16_days_EVI,aid0001,2001-03-22,3635.0,-0.0359,0.5713,"(-0.0359,0.5713)",0.2239998,0.0861447,0.0074209,0.2771,0.4274,0.2276,0.0346,0.1769
MOD13A1_006__500m_16_days_EVI_doy2001097_aid0001,_500m_16_days_EVI,aid0001,2001-04-07,3643.0,-0.0244,0.6557,"(-0.0244,0.6557)",0.2609296,0.0908584,0.0082552,0.3142,0.4655,0.2683,0.0602,0.2124
MOD13A1_006__500m_16_days_EVI_doy2001113_aid0001,_500m_16_days_EVI,aid0001,2001-04-23,3649.0,-0.0564,0.6536,"(-0.0564,0.6536)",0.2754458,0.0967464,0.0093599,0.3346,0.4972,0.2829,0.0617,0.2246
MOD13A1_006__500m_16_days_EVI_doy2001129_aid0001,_500m_16_days_EVI,aid0001,2001-05-09,3661.0,-0.0602,0.5878,"(-0.0602,0.5878)",0.2952908,0.0994425,0.0098888,0.3567,0.5246,0.3004,0.0654,0.2393
MOD13A1_006__500m_16_days_EVI_doy2001145_aid0001,_500m_16_days_EVI,aid0001,2001-05-25,3690.0,-0.0331,0.63,"(-0.0331,0.63)",0.304272,0.1100456,0.01211,0.373725,0.5713,0.30285,0.0489,0.2416
MOD13A1_006__500m_16_days_EVI_doy2001353_aid0001,_500m_16_days_EVI,aid0001,2001-12-19,3649.0,-0.0376,0.5218,"(-0.0376,0.5218)",0.1961214,0.0870872,0.0075842,0.2425,0.3927,0.1953,-0.0075,0.142
MOD13A1_006__500m_16_days_EVI_doy2002001_aid0001,_500m_16_days_EVI,aid0001,2002-01-01,3620.0,-0.0324,0.4917,"(-0.0324,0.4917)",0.1882979,0.0922133,0.0085033,0.24275,0.4191,0.1965,-0.0324,0.124425
MOD13A1_006__500m_16_days_EVI_doy2002017_aid0001,_500m_16_days_EVI,aid0001,2002-01-17,3639.0,-0.0667,0.5402,"(-0.0667,0.5402)",0.0873162,0.102335,0.0104724,0.11295,0.2542,0.0516,-0.0667,0.01875
MOD13A1_006__500m_16_days_EVI_doy2002033_aid0001,_500m_16_days_EVI,aid0001,2002-02-02,3622.0,-0.0191,0.4598,"(-0.0191,0.4598)",0.1928084,0.0742695,0.005516,0.2336,0.3556,0.19645,0.0289,0.1512
MOD13A1_006__500m_16_days_EVI_doy2002049_aid0001,_500m_16_days_EVI,aid0001,2002-02-18,3640.0,-0.0517,0.4966,"(-0.0517,0.4966)",0.2003977,0.083919,0.0070424,0.2467,0.3841,0.2064,0.0168,0.1543
MOD13A1_006__500m_16_days_EVI_doy2002065_aid0001,_500m_16_days_EVI,aid0001,2002-03-06,3632.0,-0.0077,0.4798,"(-0.0077,0.4798)",0.1985628,0.074394,0.0055345,0.2408,0.3682,0.2062,0.0286,0.1557
MOD13A1_006__500m_16_days_EVI_doy2002081_aid0001,_500m_16_days_EVI,aid0001,2002-03-22,3631.0,-0.0091,0.4694,"(-0.0091,0.4694)",0.2035798,0.0779765,0.0060803,0.2482,0.3775,0.2115,0.0258,0.1585
MOD13A1_006__500m_16_days_EVI_doy2002097_aid0001,_500m_16_days_EVI,aid0001,2002-04-07,3649.0,-0.0647,0.5449,"(-0.0647,0.5449)",0.2277473,0.0884149,0.0078172,0.2762,0.4164,0.2324,0.0405,0.1819
MOD13A1_006__500m_16_days_EVI_doy2002113_aid0001,_500m_16_days_EVI,aid0001,2002-04-23,3615.0,-0.0649,0.5832,"(-0.0649,0.5832)",0.2509688,0.0927681,0.0086059,0.3024,0.4459,0.2565,0.061,0.2058
MOD13A1_006__500m_16_days_EVI_doy2002129_aid0001,_500m_16_days_EVI,aid0001,2002-05-09,3630.0,-0.049,0.5922,"(-0.049,0.5922)",0.2922499,0.1067544,0.0113965,0.3591,0.5474,0.2965,0.0492,0.2324
MOD13A1_006__500m_16_days_EVI_doy2002145_aid0001,_500m_16_days_EVI,aid0001,2002-05-25,3628.0,-0.0802,0.7031,"(-0.0802,0.7031)",0.3338193,0.1136432,0.0129148,0.40185,0.5917,0.3352,0.085,0.2751
MOD13A1_006__500m_16_days_EVI_doy2002353_aid0001,_500m_16_days_EVI,aid0001,2002-12-19,3645.0,-0.033,0.5974,"(-0.033,0.5974)",0.1934285,0.0873241,0.0076255,0.2358,0.3775,0.1926,0.0,0.1411
MOD13A1_006__500m_16_days_EVI_doy2003001_aid0001,_500m_16_days_EVI,aid0001,2003-01-01,3609.0,-0.0223,0.5672,"(-0.0223,0.5672)",0.1923365,0.0863412,0.0074548,0.2348,0.3713,0.1909,0.0058,0.1429
MOD13A1_006__500m_16_days_EVI_doy2003017_aid0001,_500m_16_days_EVI,aid0001,2003-01-17,3646.0,-0.005,0.534,"(-0.005,0.534)",0.1859727,0.0819215,0.0067111,0.2292,0.3694,0.1808,-0.005,0.1351
MOD13A1_006__500m_16_days_EVI_doy2003033_aid0001,_500m_16_days_EVI,aid0001,2003-02-02,3648.0,-0.0205,0.5941,"(-0.0205,0.5941)",0.1944087,0.0861128,0.0074154,0.2347,0.3729,0.1939,0.0013,0.1413
MOD13A1_006__500m_16_days_EVI_doy2003049_aid0001,_500m_16_days_EVI,aid0001,2003-02-18,3623.0,-0.0187,0.5351,"(-0.0187,0.5351)",0.1975326,0.0830924,0.0069043,0.23765,0.3702,0.1982,0.0167,0.149
MOD13A1_006__500m_16_days_EVI_doy2003065_aid0001,_500m_16_days_EVI,aid0001,2003-03-06,3655.0,-0.0649,0.5239,"(-0.0649,0.5239)",0.1962453,0.0933591,0.0087159,0.2584,0.4505,0.204,-0.0649,0.1283
MOD13A1_006__500m_16_days_EVI_doy2003081_aid0001,_500m_16_days_EVI,aid0001,2003-03-22,3608.0,-0.0547,0.6403,"(-0.0547,0.6403)",0.2040016,0.1088178,0.0118413,0.275425,0.5124,0.2099,-0.0547,0.116575
MOD13A1_006__500m_16_days_EVI_doy2003097_aid0001,_500m_16_days_EVI,aid0001,2003-04-07,3635.0,-0.0497,0.6611,"(-0.0497,0.6611)",0.215516,0.1136473,0.0129157,0.29205,0.5343,0.218,-0.0497,0.1279
MOD13A1_006__500m_16_days_EVI_doy2003113_aid0001,_500m_16_days_EVI,aid0001,2003-04-23,3655.0,-0.0549,0.6324,"(-0.0549,0.6324)",0.2955345,0.1100801,0.0121176,0.3695,0.5684,0.2987,0.0317,0.2341
MOD13A1_006__500m_16_days_EVI_doy2003129_aid0001,_500m_16_days_EVI,aid0001,2003-05-09,3625.0,-0.0546,0.7052,"(-0.0546,0.7052)",0.2941796,0.1078124,0.0116235,0.3626,0.5529,0.3037,0.0375,0.2324
MOD13A1_006__500m_16_days_EVI_doy2003145_aid0001,_500m_16_days_EVI,aid0001,2003-05-25,3641.0,-0.0707,0.7065,"(-0.0707,0.7065)",0.3196763,0.1181642,0.0139628,0.3913,0.5916,0.3237,0.0585,0.2577
MOD13A1_006__500m_16_days_EVI_doy2003353_aid0001,_500m_16_days_EVI,aid0001,2003-12-19,3599.0,-0.0594,0.4174,"(-0.0594,0.4174)",0.0827287,0.0827195,0.0068425,0.1109,0.2355,0.0546,-0.0594,0.0267
MOD13A1_006__500m_16_days_EVI_doy2004001_aid0001,_500m_16_days_EVI,aid0001,2004-01-01,3620.0,-0.0654,0.5165,"(-0.0654,0.5165)",0.1561951,0.0971204,0.0094324,0.2174,0.4235,0.1627,-0.0654,0.0786
MOD13A1_006__500m_16_days_EVI_doy2004017_aid0001,_500m_16_days_EVI,aid0001,2004-01-17,3661.0,-0.0521,0.339,"(-0.0521,0.339)",0.0924198,0.0519372,0.0026975,0.114,0.195,0.0822,-0.0212,0.0599
MOD13A1_006__500m_16_days_EVI_doy2004033_aid0001,_500m_16_days_EVI,aid0001,2004-02-02,3629.0,-0.0342,0.4915,"(-0.0342,0.4915)",0.2052047,0.0855881,0.0073253,0.2547,0.4052,0.213,0.0021,0.1534
MOD13A1_006__500m_16_days_EVI_doy2004049_aid0001,_500m_16_days_EVI,aid0001,2004-02-18,3643.0,-0.0216,0.4693,"(-0.0216,0.4693)",0.1935195,0.0788153,0.0062119,0.2328,0.3563,0.1976,0.0246,0.149
MOD13A1_006__500m_16_days_EVI_doy2004065_aid0001,_500m_16_days_EVI,aid0001,2004-03-05,3649.0,-0.024,0.4711,"(-0.024,0.4711)",0.2013478,0.0831102,0.0069073,0.2486,0.3914,0.2028,0.0113,0.1534
MOD13A1_006__500m_16_days_EVI_doy2004081_aid0001,_500m_16_days_EVI,aid0001,2004-03-21,3635.0,-0.0612,0.6026,"(-0.0612,0.6026)",0.2259666,0.0906893,0.0082246,0.2736,0.4158,0.2309,0.0379,0.17875
MOD13A1_006__500m_16_days_EVI_doy2004097_aid0001,_500m_16_days_EVI,aid0001,2004-04-06,3655.0,-0.0636,0.6553,"(-0.0636,0.6553)",0.2525053,0.0970057,0.0094101,0.3069,0.4622,0.2584,0.0473,0.2028
MOD13A1_006__500m_16_days_EVI_doy2004113_aid0001,_500m_16_days_EVI,aid0001,2004-04-22,3673.0,-0.0387,0.5995,"(-0.0387,0.5995)",0.294612,0.1043697,0.010893,0.3581,0.534,0.2996,0.0654,0.2408
MOD13A1_006__500m_16_days_EVI_doy2004129_aid0001,_500m_16_days_EVI,aid0001,2004-05-08,3648.0,-0.0629,0.6428,"(-0.0629,0.6428)",0.300461,0.1122133,0.0125918,0.3703,0.5616,0.3022,0.0429,0.238775
MOD13A1_006__500m_16_days_EVI_doy2004145_aid0001,_500m_16_days_EVI,aid0001,2004-05-24,3610.0,-0.0564,0.7114,"(-0.0564,0.7114)",0.3226197,0.1233847,0.0152238,0.402725,0.634,0.3239,0.0173,0.2481
MOD13A1_006__500m_16_days_EVI_doy2004353_aid0001,_500m_16_days_EVI,aid0001,2004-12-18,3654.0,-0.0345,0.6219,"(-0.0345,0.6219)",0.2152534,0.0973093,0.0094691,0.259875,0.4157,0.21125,0.0006,0.1559
MOD13A1_006__500m_16_days_EVI_doy2005001_aid0001,_500m_16_days_EVI,aid0001,2005-01-01,3646.0,-0.0367,0.5289,"(-0.0367,0.5289)",0.2012247,0.0940844,0.0088519,0.2502,0.4108,0.2063,-0.0172,0.1428
MOD13A1_006__500m_16_days_EVI_doy2005017_aid0001,_500m_16_days_EVI,aid0001,2005-01-17,3639.0,-0.0757,0.5082,"(-0.0757,0.5082)",0.1790498,0.0926378,0.0085818,0.2275,0.3725,0.1859,-0.0139,0.1308
MOD13A1_006__500m_16_days_EVI_doy2005033_aid0001,_500m_16_days_EVI,aid0001,2005-02-02,3645.0,-0.0654,0.4906,"(-0.0654,0.4906)",0.1855845,0.0871989,0.0076037,0.2289,0.3601,0.1895,0.0043,0.1388
MOD13A1_006__500m_16_days_EVI_doy2005049_aid0001,_500m_16_days_EVI,aid0001,2005-02-18,3623.0,-0.0408,0.4686,"(-0.0408,0.4686)",0.1914892,0.0824194,0.006793,0.23535,0.3688,0.1984,0.0124,0.1461
MOD13A1_006__500m_16_days_EVI_doy2005065_aid0001,_500m_16_days_EVI,aid0001,2005-03-06,3649.0,-0.0605,0.5231,"(-0.0605,0.5231)",0.2020258,0.0827864,0.0068536,0.2451,0.3747,0.2077,0.0298,0.1587
MOD13A1_006__500m_16_days_EVI_doy2005081_aid0001,_500m_16_days_EVI,aid0001,2005-03-22,3681.0,-0.0499,0.5917,"(-0.0499,0.5917)",0.2138628,0.0904309,0.0081777,0.2659,0.4121,0.2195,0.0215,0.1677
MOD13A1_006__500m_16_days_EVI_doy2005097_aid0001,_500m_16_days_EVI,aid0001,2005-04-07,3663.0,-0.0495,0.7301,"(-0.0495,0.7301)",0.2448804,0.0912318,0.0083232,0.2949,0.4425,0.2481,0.0482,0.1958
MOD13A1_006__500m_16_days_EVI_doy2005113_aid0001,_500m_16_days_EVI,aid0001,2005-04-23,3620.0,-0.0658,0.6862,"(-0.0658,0.6862)",0.2869893,0.1074583,0.0115473,0.3532,0.5366,0.2922,0.0443,0.229125
MOD13A1_006__500m_16_days_EVI_doy2005129_aid0001,_500m_16_days_EVI,aid0001,2005-05-09,3673.0,-0.0604,0.6778,"(-0.0604,0.6778)",0.2915108,0.1007221,0.0101449,0.353,0.5234,0.2918,0.0684,0.2389
MOD13A1_006__500m_16_days_EVI_doy2005145_aid0001,_500m_16_days_EVI,aid0001,2005-05-25,3644.0,-0.0668,0.6831,"(-0.0668,0.6831)",0.3127835,0.1197924,0.0143502,0.3856,0.5868,0.314,0.0429,0.2485
MOD13A1_006__500m_16_days_EVI_doy2005353_aid0001,_500m_16_days_EVI,aid0001,2005-12-19,3648.0,-0.0254,0.2048,"(-0.0254,0.2048)",0.0500889,0.0272274,0.0007413,0.0618,0.1076,0.0432,-0.0013,0.031
MOD13A1_006__500m_16_days_EVI_doy2006001_aid0001,_500m_16_days_EVI,aid0001,2006-01-01,3627.0,-0.0798,0.4178,"(-0.0798,0.4178)",0.1171147,0.0725398,0.005262,0.1605,0.3096,0.1143,-0.0798,0.0611
MOD13A1_006__500m_16_days_EVI_doy2006017_aid0001,_500m_16_days_EVI,aid0001,2006-01-17,3618.0,-0.0165,0.5114,"(-0.0165,0.5114)",0.1602804,0.0923952,0.0085369,0.2229,0.4204,0.1568,-0.0165,0.0879
MOD13A1_006__500m_16_days_EVI_doy2006033_aid0001,_500m_16_days_EVI,aid0001,2006-02-02,3622.0,-0.0184,0.4803,"(-0.0184,0.4803)",0.2065005,0.0818165,0.0066939,0.25605,0.4041,0.2117,0.0116,0.1567
MOD13A1_006__500m_16_days_EVI_doy2006049_aid0001,_500m_16_days_EVI,aid0001,2006-02-18,3641.0,-0.027,0.4598,"(-0.027,0.4598)",0.1883023,0.0800856,0.0064137,0.2327,0.3682,0.1874,0.0033,0.1409
MOD13A1_006__500m_16_days_EVI_doy2006065_aid0001,_500m_16_days_EVI,aid0001,2006-03-06,3653.0,-0.015,0.48,"(-0.015,0.48)",0.2094076,0.0828547,0.0068649,0.2619,0.413,0.2163,0.0082,0.1599
MOD13A1_006__500m_16_days_EVI_doy2006081_aid0001,_500m_16_days_EVI,aid0001,2006-03-22,3642.0,-0.0283,0.5747,"(-0.0283,0.5747)",0.2243633,0.084867,0.0072024,0.277,0.4243,0.2344,0.0299,0.1781
MOD13A1_006__500m_16_days_EVI_doy2006097_aid0001,_500m_16_days_EVI,aid0001,2006-04-07,3649.0,-0.0597,0.5982,"(-0.0597,0.5982)",0.2415099,0.0962387,0.0092619,0.2982,0.4531,0.2488,0.0324,0.1916
MOD13A1_006__500m_16_days_EVI_doy2006113_aid0001,_500m_16_days_EVI,aid0001,2006-04-23,3638.0,-0.0522,0.599,"(-0.0522,0.599)",0.2639993,0.0931824,0.008683,0.321075,0.4719,0.27045,0.0612,0.21655
MOD13A1_006__500m_16_days_EVI_doy2006129_aid0001,_500m_16_days_EVI,aid0001,2006-05-09,3655.0,-0.0429,0.6049,"(-0.0429,0.6049)",0.2952679,0.1026535,0.0105377,0.3572,0.5317,0.3023,0.0603,0.2382
MOD13A1_006__500m_16_days_EVI_doy2006145_aid0001,_500m_16_days_EVI,aid0001,2006-05-25,3636.0,-0.0653,0.6933,"(-0.0653,0.6933)",0.3082636,0.116754,0.0136315,0.38,0.5826,0.3079,0.0421,0.2442
MOD13A1_006__500m_16_days_EVI_doy2006353_aid0001,_500m_16_days_EVI,aid0001,2006-12-19,3672.0,-0.0283,0.4967,"(-0.0283,0.4967)",0.1259527,0.0635855,0.0040431,0.162,0.2727,0.1197,-0.0259,0.0864
MOD13A1_006__500m_16_days_EVI_doy2007001_aid0001,_500m_16_days_EVI,aid0001,2007-01-01,3657.0,-0.0884,0.4873,"(-0.0884,0.4873)",0.036062,0.0474739,0.0022538,0.0579,0.1366,0.0256,-0.0727,0.0049
MOD13A1_006__500m_16_days_EVI_doy2007017_aid0001,_500m_16_days_EVI,aid0001,2007-01-17,3657.0,-0.0451,0.4612,"(-0.0451,0.4612)",0.1738964,0.0815502,0.0066504,0.2184,0.3554,0.1777,-0.012,0.1262
MOD13A1_006__500m_16_days_EVI_doy2007033_aid0001,_500m_16_days_EVI,aid0001,2007-02-02,3635.0,-0.0064,0.4319,"(-0.0064,0.4319)",0.1475722,0.0751546,0.0056482,0.1954,0.3505,0.1517,-0.0064,0.092
MOD13A1_006__500m_16_days_EVI_doy2007049_aid0001,_500m_16_days_EVI,aid0001,2007-02-18,3636.0,-0.0147,0.5093,"(-0.0147,0.5093)",0.1530832,0.0762883,0.0058199,0.1947,0.3315,0.1437,-0.0147,0.1022
MOD13A1_006__500m_16_days_EVI_doy2007065_aid0001,_500m_16_days_EVI,aid0001,2007-03-06,3615.0,-0.091,0.5305,"(-0.091,0.5305)",0.1987422,0.0953684,0.0090951,0.256,0.4239,0.2032,-0.0281,0.14225
MOD13A1_006__500m_16_days_EVI_doy2007081_aid0001,_500m_16_days_EVI,aid0001,2007-03-22,3687.0,-0.0633,0.4964,"(-0.0633,0.4964)",0.2216712,0.091582,0.0083873,0.2765,0.4363,0.2261,0.0121,0.1698
MOD13A1_006__500m_16_days_EVI_doy2007097_aid0001,_500m_16_days_EVI,aid0001,2007-04-07,3636.0,-0.0703,0.6349,"(-0.0703,0.6349)",0.2399533,0.1066293,0.0113698,0.303925,0.4974,0.2525,-0.0272,0.1714
MOD13A1_006__500m_16_days_EVI_doy2007113_aid0001,_500m_16_days_EVI,aid0001,2007-04-23,3650.0,-0.0591,0.6474,"(-0.0591,0.6474)",0.263062,0.0999374,0.0099875,0.32,0.4894,0.26635,0.0361,0.2064
